t,Surface,POI
1,38.17,38.19
2,38.6,39.4
3,38.89,40.62
4,39.12,41.85
5,39.31,43.08
6,39.47,44.28
7,39.61,45.46
8,39.74,46.61
9,39.85,47.73
10,39.96,48.82
11,40.06,49.87
12,40.15,50.89
13,40.23,51.88
14,40.31,52.84
15,40.39,53.77
16,40.46,54.67
17,40.52,55.55
18,40.59,56.4
19,40.65,57.22
20,40.71,58.02
21,40.76,58.8
22,40.82,59.56
23,40.87,60.3
24,40.92,61.02
25,40.97,61.72
26,41.01,62.4
27,41.06,63.07
28,41.1,63.72
29,41.14,64.36
30,41.18,64.98
31,41.22,65.59
32,41.26,66.18
33,41.3,66.76
34,41.34,67.33
35,41.37,67.89
36,41.41,68.44
37,41.44,68.97
38,41.47,69.5
39,41.5,70.01
40,41.54,70.52
41,41.57,71.01
42,41.6,71.5
43,41.62,71.98
44,41.65,72.45
45,41.68,72.91
46,41.71,73.36
47,41.74,73.81
48,41.76,74.24
49,41.79,74.67
50,41.81,75.1
51,41.84,75.51
52,41.86,75.92
53,41.89,76.33
54,41.91,76.73
55,41.93,77.12
56,41.96,77.5
57,41.98,77.88
58,42,78.26
59,42.02,78.63
60,42.04,78.99
61,42.07,79.35
62,42.09,79.7
63,42.11,80.05
64,42.13,80.39
65,42.15,80.73
66,42.17,81.07
67,42.18,81.4
68,42.2,81.72
69,42.22,82.05
70,42.24,82.36
71,42.26,82.68
72,42.28,82.99
73,42.29,83.29
74,42.31,83.6
75,42.33,83.89
76,42.34,84.19
77,42.36,84.48
78,42.38,84.77
79,42.39,85.05
80,42.41,85.33
81,42.43,85.61
82,42.44,85.89
83,42.46,86.16
84,42.47,86.43
85,42.49,86.69
86,42.5,86.96
87,42.52,87.22
88,42.53,87.47
89,42.55,87.73
90,42.56,87.98
91,42.57,88.23
92,42.59,88.48
93,42.6,88.72
94,42.61,88.96
95,42.63,89.2
96,42.64,89.44
97,42.65,89.67
98,42.67,89.9
99,42.68,90.13
100,42.69,90.36
101,42.71,90.58
102,42.72,90.81
103,42.73,91.03
104,42.74,91.25
105,42.75,91.46
106,42.77,91.68
107,42.78,91.89
108,42.79,92.1
109,42.8,92.31
110,42.81,92.52
111,42.82,92.72
112,42.84,92.92
113,42.85,93.13
114,42.86,93.33
115,42.87,93.52
116,42.88,93.72
117,42.89,93.91
118,42.9,94.11
119,42.91,94.3
120,42.92,94.49
121,42.93,94.67
122,42.94,94.86
123,42.95,95.04
124,42.96,95.23
125,42.97,95.41
126,42.98,95.59
127,42.99,95.77
128,43,95.94
129,43.01,96.12
130,43.02,96.29
131,43.03,96.47
132,43.04,96.64
133,43.05,96.81
134,43.06,96.98
135,43.07,97.14
136,43.08,97.31
137,43.09,97.47
138,43.09,97.64
139,43.1,97.8
140,43.11,97.96
141,43.12,98.12
142,43.13,98.28
143,43.14,98.44
144,43.15,98.59
145,43.16,98.75
146,43.16,98.9
147,43.17,99.05
148,43.18,99.2
149,43.19,99.36
150,43.2,99.5
151,43.2,99.65
152,43.21,99.8
153,43.22,99.93
154,43.23,100
155,43.24,100
156,43.24,100
157,43.25,100
158,43.26,100
159,43.27,100
160,43.27,100
161,43.28,100
162,43.28,100
163,43.29,100
164,43.29,100
165,43.3,100
166,43.3,100
167,43.3,100
168,43.31,100
169,43.31,100
170,43.31,100
171,43.31,100
172,43.32,100
173,43.32,100
174,43.32,100
175,43.32,100
176,43.33,100
177,43.33,100
178,43.33,100
179,43.33,100
180,43.33,100
1,38.17,37.97
2,38.6,38.95
3,38.89,39.95
4,39.12,40.95
5,39.31,41.97
6,39.47,42.98
7,39.61,43.98
8,39.74,44.98
9,39.85,45.96
10,39.96,46.93
11,40.06,47.88
12,40.15,48.81
13,40.23,49.72
14,40.31,50.61
15,40.39,51.48
16,40.46,52.34
17,40.52,53.17
18,40.59,53.98
19,40.65,54.78
20,40.71,55.56
21,40.76,56.32
22,40.82,57.07
23,40.87,57.79
24,40.92,58.51
25,40.97,59.21
26,41.01,59.89
27,41.06,60.56
28,41.1,61.21
29,41.14,61.85
30,41.18,62.48
31,41.22,63.1
32,41.26,63.71
33,41.3,64.3
34,41.34,64.88
35,41.37,65.45
36,41.41,66.02
37,41.44,66.57
38,41.47,67.11
39,41.5,67.64
40,41.54,68.16
41,41.57,68.68
42,41.6,69.18
43,41.62,69.68
44,41.65,70.17
45,41.68,70.65
46,41.71,71.12
47,41.74,71.59
48,41.76,72.05
49,41.79,72.5
50,41.81,72.95
51,41.84,73.38
52,41.86,73.82
53,41.89,74.24
54,41.91,74.66
55,41.93,75.07
56,41.96,75.48
